stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
5171,,Gran Vía 7,,43.26152,-2.92839,,,0,
5172,,Tristán De Leguizamón 5,,43.26914,-2.92875,,,0,
5173,,Campo Volantín 13,,43.26528,-2.92529,,,0,
5174,,San Nikolas Olabeaga 58,,43.26613,-2.96071,,,0,
5175,,Ugarteko / Ibarrekolanda,,43.27378,-2.95546,,,0,
5176,,Artazugoikoa,,43.24644,-2.94208,,,0,
5177,,Mazarredo 3,,43.26253,-2.92931,,,0,
5178,,Betolatza 41,,43.24912,-2.95036,,,0,
5179,,Zazpilanda / Mendigain,,43.27195,-2.96944,,,0,
5180,,La Salve / Igogailua,,43.26967,-2.93132,,,0,
5181,,Sagrada Familia / Salesianos,,43.27136,-2.9526,,,0,
5182,,Zorrotzabaso 12,,43.2712,-2.97089,,,0,
5183,,San Nicolás 4,,43.25984,-2.92223,,,0,
5184,,Zorrotza - Kastrexana / Ciudad Jardín,,43.27155,-2.97438,,,0,
5185,,Urizar 24 / Gob. Militarra,,43.2546,-2.93459,,,0,
5186,,Zumalacárregui 56,,43.25563,-2.9108,,,0,
5187,,Basurtu - Kastrexana / Altamira,,43.26368,-2.96259,,,0,
5188,,Gran Vía 41,,43.26315,-2.9359,,,0,
5189,,Alda Recalde 31,,43.26382,-2.93454,,,0,
5190,,Bergara 12,,43.2515,-2.93576,,,0,
5191,,Artazubekoa 27,,43.25008,-2.94195,,,0,
5192,,Goya 7,,43.2529,-2.94651,,,0,
5193,,Lezeaga 14,,43.25894,-2.95674,,,0,
5194,,Urquijo / Bizkaia Pl,,43.26034,-2.93731,,,0,
5195,,Santutxu 18,,43.25309,-2.91563,,,0,
5196,,Kristo 1,,43.26487,-2.92255,,,0,
5197,,Miramarbidea / Eskola,,43.27543,-2.94967,,,0,
5198,,Lezeaga 9,,43.25888,-2.95657,,,0,
5199,,Autonomía 13,,43.25734,-2.93751,,,0,
5200,,Circunvalación 12,,43.2498793,-2.949574,,,0,
5201,,Masustegi 21,,43.2575,-2.91342,,,0,
5202,,Gordoniz 49a,,43.2544,-2.94455,,,0,
5203,,Ugarte 2,,43.2614,-2.90049,,,0,
5204,,Trauko 3,,43.26729,-2.92159,,,0,
5205,,Zorrotza - Kastrexana / Pte. Diablo,,43.25507,-2.97248,,,0,
5206,,Ribera De Deustu 59,,43.268,-2.96147,,,0,
5207,,Zabalbide 41,,43.25467,-2.91499,,,0,
5208,,Juan De Garay 7,,43.25641,-2.93326,,,0,
5209,,Elcano 9,,43.2623,-2.9346,,,0,
5210,,Montevideo / Ospitalea,,43.26048,-2.95424,,,0,
5211,,Larraskitubidea / Estrada Beiti,,43.24195,-2.93456,,,0,
5212,,Amadeo Deprit 1,,43.25771,-2.9168,,,0,
5213,,Montevideo / Santa Ana,,43.26324,-2.95735,,,0,
5214,,Blas De Otero 57,,43.26987,-2.95189,,,0,
5215,,Basurtu - Kastrexana / Altamira,,43.26331,-2.96238,,,0,
5216,,Pau Casals 16,,43.25933,-2.90025,,,0,
5217,,Irala 28,,43.25325,-2.93762,,,0,
5218,,Castaños / Funikularra,,43.26844,-2.92657,,,0,
5219,,Buia Auzoa 153,,43.2264,-2.91396,,,0,
5220,,Iturriaga 58 / L. Briñas Eskola,,43.25162,-2.91061,,,0,
5221,,Gordoniz 22,,43.25722,-2.94181,,,0,
